site,site.visits,prop.roya,prop.myco,prop.lecanii,prop.mite,prop.snail
TODY,21,0.604166667,0.103448276,0.620689655,0.494252874,0.195402299
TODY,22,0.597222222,0.162790698,0.720930233,0.581395349,0.302325581
TODY,23,0.611111111,0.102272727,0.704545455,0.602272727,0.204545455
TODY,24,0.625,0.022222222,0.711111111,0.577777778,0.4
TODY,25,0.576388889,0.120481928,0.722891566,0.614457831,0.192771084
TODY,26,0.548611111,0.012658228,0.721518987,0.139240506,0.291139241
TODY,27,0.534722222,0.090909091,0.883116883,0.064935065,0.051948052
TODY,28,0.583333333,0.214285714,0.845238095,0.166666667,0.178571429
TODY,29,0.597222222,0.255813953,0.779069767,0.197674419,0.104651163
TODY,30,0.583333333,0.285714286,0.80952381,0.297619048,0.154761905
TODY,31,0.597222222,0.197674419,0.802325581,0.441860465,0.220930233
TODY,32,0.576388889,0.34939759,0.86746988,0.602409639,0.277108434
TODY,33,0.583333333,0.166666667,0.785714286,0.5,0.142857143
TODY,34,0.576388889,0.084337349,0.602409639,0.180722892,0.060240964
TODY,35,0.597222222,0.058139535,0.569767442,0.127906977,0.034883721
TODY,36,0.534722222,0.012987013,0.441558442,0.12987013,0.077922078
TODY,37,0.496503497,0.028169014,0.436619718,0.084507042,0.042253521
TODY,38,0.506944444,0.095890411,0.315068493,0.068493151,0.04109589
JOHN,21,0.579310345,0.035714286,0.535714286,0.178571429,0.083333333
JOHN,22,0.586206897,0.011764706,0.376470588,0.247058824,0.105882353
JOHN,23,0.565517241,0,0.390243902,0.292682927,0.048780488
JOHN,24,0.572413793,0,0.506024096,0.240963855,0.048192771
JOHN,25,0.565517241,0.012195122,0.597560976,0.219512195,0.073170732
JOHN,26,0.551724138,0,0.4125,0.0125,0.05
JOHN,27,0.572413793,0.012048193,0.554216867,0.024096386,0.060240964
JOHN,28,0.537931034,0.012820513,0.346153846,0.038461538,0.051282051
JOHN,29,0.55862069,0.061728395,0.518518519,0.024691358,0.135802469
JOHN,30,0.524137931,0.065789474,0.565789474,0.026315789,0.105263158
JOHN,31,0.489655172,0.042253521,0.633802817,0.126760563,0.098591549
JOHN,32,0.468965517,0.147058824,0.529411765,0.205882353,0.014705882
JOHN,33,0.524137931,0.078947368,0.578947368,0.118421053,0
JOHN,34,0.537931034,0.051282051,0.512820513,0.128205128,0
JOHN,35,0.551724138,0.075,0.6125,0.175,0
JOHN,36,0.44137931,0.140625,0.6875,0.3125,0.015625
JOHN,37,0.372413793,0.055555556,0.555555556,0.222222222,0.018518519
