"","lat","lon","myco","lecanii","mite","snail","roya","region","site.name"
"1",18.22971303,-66.80660899,1.89166666666667,3.07916666666667,0.266666666666667,0.0208333333333333,110.345833333333,1,2
"2",18.15202796,-66.89209401,0.141666666666667,0.1375,0.0291666666666667,0.075,5.77916666666667,2,12
"3",18.196703,-66.83178202,0.0166666666666667,1.40833333333333,0.00416666666666667,0,22.2875,3,1
"4",18.22224,-67.0005,0,0,0,0,0,4,7
"5",18.15421597,-66.93489804,0.579166666666667,1.05416666666667,0.025,0.133333333333333,30.4041666666667,5,10
"6",18.21297504,-66.56458899,0.941666666666667,2.62083333333333,0.0125,0.025,36.2833333333333,6,4
"7",18.21610199,-66.56724698,1.9125,2.21666666666667,0.1625,0.00833333333333333,113.295833333333,7,3
"8",18.17530098,-66.41616502,0.0708333333333333,0.125,0,0,0.658333333333333,8,13
"9",18.15231504,-66.93033803,0.0958333333333333,0.166666666666667,0.00833333333333333,0,12.8958333333333,9,11
"10",18.20963896,-66.97964097,0.425,2.27083333333333,0.3625,0.108333333333333,50.6708333333333,10,9
"11",18.11461701,-66.55838697,0,0,0,0,0,11,14
"12",18.27161198,-66.67007097,0.1375,1.2,0.0208333333333333,0.0125,9.05,12,17
"13",18.28785804,-66.77026397,0.458333333333333,4.225,0.383333333333333,0.05,56.3041666666667,13,20
"14",18.21372396,-66.97568698,0.925,2.90833333333333,0.504166666666667,0.0458333333333333,50.3875,14,8
"15",18.14402299,-66.81915804,0.0291666666666667,0.0625,0.00416666666666667,0.00416666666666667,0.920833333333333,15,24
"16",18.14963602,-66.84244598,0,0,0,0,0.54,16,26
"17",18.11992904,-66.55841497,0.0167364016736402,0.163179916317992,0,0,24.4518828451883,17,6
"18",18.12979496,-66.53100296,0,0,0,0,0,18,5
"19",18.26100896,-66.61855898,0,0.0125,0,0,0.5125,19,23
"20",18.263964,-66.61100303,0.00416666666666667,0.0208333333333333,0,0,1.12916666666667,20,15
"21",18.26012702,-66.60576602,0.104166666666667,0.504166666666667,0.0125,0,16.4041666666667,21,22
"22",18.26936304,-66.74206397,0,0,0,0,0.0166666666666667,22,18
"23",18.272386,-66.754348,0.05,0.366666666666667,0,0,3.20416666666667,23,19
"24",18.27949097,-66.82820898,0.104166666666667,1.0125,0.0333333333333333,0,12.1958333333333,24,21
"25",18.25792,-66.7958,0.133333333333333,0.2125,0.108333333333333,0,6.79583333333333,25,16
